video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow,video_name_datetime
0_2022-11-18-07-12-25,2,1.75,False,False,False,FEW,1500,False,True,2022-11-18 07:12:25+00:00
1_2022-11-18-07-23-33,1,1.75,False,False,False,FEW,1500,False,True,2022-11-18 07:23:33+00:00
0_2022-11-18-07-23-33,1,1.75,False,False,False,FEW,1500,False,True,2022-11-18 07:23:33+00:00
0_2022-11-18-07-29-05,1,1.75,False,False,False,FEW,1500,False,True,2022-11-18 07:29:05+00:00
1_2022-11-18-11-35-32,2,10.0,False,False,False,CLR,M,False,False,2022-11-18 11:35:32+00:00
0_2022-11-18-11-35-32,2,10.0,False,False,False,CLR,M,False,False,2022-11-18 11:35:32+00:00
1_2022-11-18-11-50-39,2,10.0,False,False,False,CLR,M,False,False,2022-11-18 11:50:39+00:00
0_2022-11-18-13-06-27,3,10.0,False,False,False,OVC,4600,False,False,2022-11-18 13:06:27+00:00
1_2022-11-18-14-34-32,4,10.0,False,False,False,OVC,4400,False,False,2022-11-18 14:34:32+00:00
0_2022-11-18-14-34-32,4,10.0,False,False,False,OVC,4400,False,False,2022-11-18 14:34:32+00:00
0_2022-11-18-15-25-26,3,10.0,False,False,False,OVC,3700,False,False,2022-11-18 15:25:26+00:00
0_2022-11-18-15-30-58,2,10.0,False,False,False,OVC,3700,False,False,2022-11-18 15:30:58+00:00
0_2022-11-18-16-09-32,3,10.0,False,False,False,OVC,4000,False,False,2022-11-18 16:09:32+00:00
0_2022-11-18-17-08-53,2,10.0,False,False,False,CLR,M,False,False,2022-11-18 17:08:53+00:00
0_2022-11-19-07-31-15,2,10.0,False,False,False,SCT,4300,False,False,2022-11-19 07:31:15+00:00
0_2022-11-19-08-25-51,1,10.0,False,False,False,FEW,4500,False,False,2022-11-19 08:25:51+00:00
0_2022-11-19-08-40-16,4,10.0,False,False,False,FEW,4500,False,False,2022-11-19 08:40:16+00:00
1_2022-11-19-09-09-19,7,10.0,False,False,False,FEW,4600,False,False,2022-11-19 09:09:19+00:00
0_2022-11-19-09-43-39,3,10.0,False,False,False,FEW,4600,False,False,2022-11-19 09:43:39+00:00
0_2022-11-19-09-54-05,2,10.0,False,False,False,FEW,4600,False,False,2022-11-19 09:54:05+00:00
0_2022-11-19-09-59-42,2,10.0,False,False,False,CLR,M,False,False,2022-11-19 09:59:42+00:00
0_2022-11-19-10-05-14,4,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:05:14+00:00
0_2022-11-19-10-10-46,3,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:10:46+00:00
0_2022-11-19-10-16-18,2,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:16:18+00:00
0_2022-11-19-10-21-50,2,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:21:50+00:00
1_2022-11-19-10-25-47,5,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:25:47+00:00
0_2022-11-19-10-25-47,5,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:25:47+00:00
0_2022-11-19-10-46-05,4,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:46:05+00:00
1_2022-11-19-10-55-26,4,10.0,False,False,False,CLR,M,False,False,2022-11-19 10:55:26+00:00
0_2022-11-19-11-35-38,6,10.0,False,False,False,CLR,M,False,False,2022-11-19 11:35:38+00:00
0_2022-11-19-12-16-30,2,10.0,False,False,False,CLR,M,False,False,2022-11-19 12:16:30+00:00
0_2022-11-19-12-45-38,2,10.0,False,False,False,CLR,M,False,False,2022-11-19 12:45:38+00:00
0_2022-11-19-12-51-10,4,10.0,False,False,False,CLR,M,False,False,2022-11-19 12:51:10+00:00
0_2022-11-19-13-11-22,1,10.0,False,False,False,FEW,10000,False,False,2022-11-19 13:11:22+00:00
0_2022-11-19-13-51-19,1,10.0,False,False,False,FEW,10000,False,False,2022-11-19 13:51:19+00:00
0_2022-11-19-13-57-21,3,10.0,False,False,False,OVC,12000,False,False,2022-11-19 13:57:21+00:00
1_2022-11-19-14-41-55,2,10.0,False,False,False,OVC,12000,False,False,2022-11-19 14:41:55+00:00
0_2022-11-19-15-00-28,3,10.0,False,False,False,OVC,9000,False,False,2022-11-19 15:00:28+00:00
0_2022-11-19-15-24-23,3,10.0,False,False,False,OVC,9000,False,False,2022-11-19 15:24:23+00:00
